time,x,y,z,theta,psi,left,right
18.6,31.3217993165164,14.5575487580448,-56.3157711795679,0.17896596635745,0.779400642815396,0,0
18.7,31.4587753159058,14.6918126148625,-56.3483217564309,0.194508547479083,0.777050653199864,0,0
18.8,31.5959576190798,14.8260798151309,-56.3838598450794,0.211134935496653,0.774473857140002,0,0
18.9,31.7329171979175,14.9597920682324,-56.4224728715533,0.22762380916885,0.772217516079812,0,0
19,31.8705012276028,15.0936963726324,-56.46445170238,0.243394358887015,0.77156572105299,0,0
19.1,32.0073626348777,15.2267374670362,-56.5093286569276,0.258058932993178,0.771891091425281,0,0
19.2,32.1442307273597,15.3598930874739,-56.5572252935715,0.271761112251943,0.773120221149321,0,0
19.3,32.2808658870618,15.4932133355262,-56.6079636150884,0.284841237248512,0.775593504564766,0,0
19.4,32.4170258307646,15.6266608909657,-56.6613624785728,0.297128385273374,0.77920939093766,0,0
19.5,32.5520445445121,15.7599467034603,-56.717054727154,0.308002564466344,0.784091578992657,0,0
19.6,32.6864818686387,15.8938899158248,-56.7750714097294,0.316783700108821,0.792061963219021,0,0
19.7,32.8202112940598,16.0289679631409,-56.8351653370459,0.324169453909403,0.799717283224913,0,0
19.8,32.952600746605,16.1648078160399,-56.8967687942141,0.329469767888576,0.807871785997592,0,0
19.9,33.083262460756,16.3011330393144,-56.959365806359,0.33318808768453,0.816845679471076,0,0
20,33.2121706366617,16.4380507571753,-57.0226105440079,0.334976899040776,0.825864065677053,0,0
20.1,33.3389175543109,16.5752211750333,-57.0859390752472,0.334458804509061,0.834475846577316,0,0
20.2,33.4635102669127,16.7125881600559,-57.1489014473993,0.33180337416734,0.842952120600771,0,0
20.3,33.5875577926622,16.8518820337026,-57.2118802415479,0.326993796434822,0.848899679513106,0,0
20.4,33.7109288191361,16.9925781600693,-57.2742618924808,0.319627178989366,0.854540660158872,0,0
20.5,33.8332294538492,17.1339057482665,-57.3353055713877,0.310671731249633,0.859715641669786,0,0
20.6,33.9554511269406,17.2767779112098,-57.3949882773158,0.298114824188922,0.866736452571283,0,0
20.7,34.0781360606243,17.4219799331682,-57.453085961899,0.285075122628051,0.875710020319485,0,0
20.8,34.200587519179,17.5692064030057,-57.50907149902,0.27049663254353,0.885820003065904,0,0
20.9,34.3217535158468,17.7176264285409,-57.5623375633119,0.257133486955521,0.89647479559495,0,0
21,34.4405613334427,17.8661932214997,-57.6126914008194,0.247505365652367,0.906504277110538,0,0
21.1,34.5581631468341,18.0164320565756,-57.6612147584142,0.241087970946756,0.914306208317243,0,0
21.2,34.6743121645772,18.1675984648171,-57.7083076834283,0.236671004980186,0.919395372733125,0,0
21.3,34.7884277193507,18.3182809997274,-57.7541343623647,0.236651063655726,0.919611593160997,0,0
21.4,34.9006528436177,18.4674968888868,-57.7993316499803,0.241522368985682,0.917482857036742,0,0
21.5,35.0116028621016,18.6150319251156,-57.8447945028989,0.249347855452524,0.912992484833284,0,0
21.6,35.1225157112589,18.7616163314717,-57.8913765588423,0.256375441388568,0.908951745895328,0,0
21.7,35.2333387238962,18.9068874404656,-57.9390955769477,0.263163157360876,0.904081583208488,0,0
21.8,35.3444296783335,19.0511271440094,-57.9880164088436,0.267951985815308,0.901466682402515,0,0
21.9,35.456778739464,19.1958014681562,-58.0383390530107,0.270214605412152,0.900258995787245,0,0
22,35.5704620382835,19.3413907136042,-58.0896910139322,0.268430969556852,0.901385559303124,0,0
22.1,35.6861557167559,19.4893388342057,-58.1418436634552,0.263682015981128,0.901758650529241,0,0
22.2,35.8034566791431,19.6393013095925,-58.1940431853843,0.257664472213879,0.902647246540941,0,0
22.3,35.9216055253858,19.7904207434098,-58.2456613475493,0.251634886721664,0.90437148814012,0,0
22.4,36.0397625895177,19.9418859569649,-58.2962897281045,0.246799111373715,0.902318676620797,0,0
22.5,36.1583632714023,20.0937901374539,-58.3461352398929,0.242618376461749,0.89901659135669,0,0
22.6,36.2779543258917,20.2461836911201,-58.3954277779612,0.23923106660095,0.893951939761964,0,0
22.7,36.3984249164593,20.3984101870504,-58.4440945437927,0.234935129511982,0.888236339712145,0,0
22.8,36.5199339140769,20.5502541804174,-58.4920420837246,0.230810123636514,0.883884146084986,0,0
22.9,36.6428646740178,20.7022729991005,-58.5394518589945,0.227533648183215,0.88007564025747,0,0
23,36.7666338241864,20.8539537439229,-58.5862787721993,0.225047645979698,0.875796332822062,0,0
23.1,36.8914721299777,21.0055660342163,-58.6326923369267,0.221791701893162,0.872160138002069,0,0
23.2,37.0175470461843,21.1574014260667,-58.6787167001202,0.218816892042678,0.868279285233713,0,0
23.3,37.1446346763149,21.3092373166646,-58.7242993213082,0.216104385619191,0.864715376234507,0,0
23.4,37.2724089008164,21.4606892058503,-58.7693465979434,0.21367926684206,0.860957123590779,0,0
23.5,37.4007018072957,21.6115783838036,-58.8139012334349,0.212319119548751,0.857290482001701,0,0
23.6,37.5294484768029,21.7618416105105,-58.8580555843156,0.210953361248541,0.852053481088239,0,0
23.7,37.6593844064614,21.9121121699435,-58.9020877252207,0.210076742185762,0.847829062358148,0,0
23.8,37.7898118774868,22.0615551172807,-58.9458177965909,0.209307751995809,0.843605254680251,0,0
23.9,37.9209226256444,22.210475054252,-58.9893967953046,0.208992236834749,0.840653544211494,0,0
24,38.0524576861193,22.3588125661238,-59.0328075661861,0.20857505643791,0.837303992012437,0,0
24.1,38.1837947070019,22.5059497632946,-59.0759077048719,0.209019974800006,0.834052013099962,0,0
24.2,38.3157839356896,22.6528243608164,-59.1190666831347,0.209929724429281,0.830296839081262,0,0
24.3,38.4482219913404,22.7991395390654,-59.1623130342958,0.211287237502059,0.828430682316139,0,0
24.4,38.5805272808954,22.9444951876978,-59.2056071003987,0.213090230176729,0.827478772164773,0,0
24.5,38.7130419419654,23.0896320536953,-59.2491531162559,0.213812911049166,0.825535771434148,0,0
24.6,38.8457206099331,23.2344777869228,-59.2928340322697,0.214973486366788,0.824202272673064,0,0
24.7,38.9787497345568,23.3792766044751,-59.3367389446974,0.216641177113519,0.823833253683819,0,0
24.8,39.1121289343224,23.5242588830235,-59.380985593147,0.218139997881087,0.822380127527863,0,0
24.9,39.2457363810859,23.6691546119737,-59.4254735835893,0.218872416141809,0.822530516180883,0,0
25,39.3792341676081,23.8137339948632,-59.4700517274022,0.220603596178625,0.827085782105461,0,0
25.1,39.5124244466369,23.9585933848463,-59.5149080482458,0.223105499924967,0.833184662638029,0,0
